Code,Fv/Fm,FvFm
245,822,0.822
246,812,0.812
247,828,0.828
248,765,0.765
249,816,0.816
250,783,0.783
251,736,0.736
252,809,0.809
253,816,0.816
254,777,0.777
255,835,0.835
256,775,0.775
257,830,0.83
258,789,0.789
259,788,0.788
260,819,0.819
261,795,0.795
262,824,0.824
263,823,0.823
264,740,0.74
265,745,0.745
266,805,0.805
267,813,0.813
268,830,0.83
269,826,0.826
270,780,0.78
271,842,0.842
272,837,0.837
273,833,0.833
274,823,0.823
275,827,0.827
276,822,0.822
277,791,0.791
278,832,0.832
279,822,0.822
280,829,0.829
281,825,0.825
282,759,0.759
283,840,0.84
284,826,0.826
285,816,0.816
286,806,0.806
287,813,0.813
288,831,0.831
289,809,0.809
290,822,0.822
291,819,0.819
292,812,0.812
293,832,0.832
294,829,0.829
295,824,0.824
296,824,0.824
297,793,0.793
298,841,0.841
299,797,0.797
300,783,0.783
301,827,0.827
302,799,0.799
303,780,0.78
304,821,0.821
305,816,0.816
306,816,0.816
307,819,0.819
308,819,0.819
309,834,0.834
310,752,0.752
311,782,0.782
312,800,0.8
313,838,0.838
314,751,0.751
315,815,0.815
316,820,0.82
317,831,0.831
318,805,0.805
319,908,0.908
320,892,0.892
321,774,0.774
322,834,0.834
323,836,0.836
324,826,0.826
325,840,0.84
326,837,0.837
327,811,0.811
328,803,0.803
329,796,0.796
330,826,0.826
331,814,0.814
332,834,0.834
333,793,0.793
334,851,0.851
335,820,0.82
336,813,0.813
337,799,0.799
338,870,0.87
339,833,0.833
340,823,0.823
341,798,0.798
342,837,0.837
343,865,0.865
344,823,0.823
345,779,0.779
346,834,0.834
347,808,0.808
348,869,0.869
349,871,0.871
350,834,0.834
351,792,0.792
352,846,0.846
353,823,0.823
354,806,0.806
355,827,0.827
356,826,0.826
357,760,0.76
358,829,0.829
359,807,0.807
360,836,0.836
361,782,0.782
362,767,0.767
363,822,0.822
364,789,0.789
365,767,0.767
366,812,0.812
367,821,0.821
368,821,0.821
369,828,0.828
370,696,0.696
371,865,0.865
372,821,0.821
373,860,0.86
374,841,0.841
375,770,0.77
376,865,0.865
377,870,0.87
378,892,0.892
379,796,0.796
380,847,0.847
381,823,0.823
382,843,0.843
383,875,0.875
384,829,0.829
385,795,0.795
386,809,0.809
387,803,0.803
388,822,0.822
389,814,0.814
390,823,0.823
391,829,0.829
392,816,0.816
393,789,0.789
394,804,0.804
395,796,0.796
396,757,0.757
397,768,0.768
398,774,0.774
399,798,0.798
400,762,0.762
401,798,0.798
402,796,0.796
403,873,0.873
404,826,0.826
405,831,0.831
406,812,0.812
407,833,0.833
408,830,0.83
409,849,0.849
410,771,0.771
411,857,0.857
412,808,0.808
413,789,0.789
414,814,0.814
415,525,NA
416,851,0.851
417,895,0.895
418,826,0.826
419,860,0.86
420,808,0.808
421,799,0.799
422,869,0.869
423,890,0.89
424,846,0.846
425,711,0.711
426,843,0.843
427,823,0.823
428,839,0.839
429,815,0.815
430,805,0.805
431,810,0.81
432,819,0.819
433,809,0.809
434,730,0.73
435,795,0.795
436,723,0.723
437,816,0.816
438,815,0.815
439,831,0.831
440,820,0.82
441,839,0.839
442,842,0.842
443,816,0.816
444,797,0.797
445,782,0.782
446,774,0.774
447,764,0.764
448,793,0.793
449,843,0.843
450,837,0.837
451,822,0.822
452,813,0.813
453,776,0.776
454,886,0.886
455,883,0.883
456,777,0.777
457,842,0.842
458,835,0.835
459,872,0.872
460,844,0.844
461,867,0.867
462,831,0.831
463,764,0.764
464,863,0.863
465,746,0.746
466,761,0.761
467,822,0.822
468,824,0.824
469,835,0.835
470,795,0.795
471,795,0.795
472,794,0.794
473,824,0.824
