fid,Plot,idPlot,idTopo,TypeTopo,TypeTopoEN,NUMPOINTS
"1","1","91","1",Plateau,Plateau,0
"2","15","915","43",Plateau,Plateau,0
"3","13","913","38",Plateau,Plateau,2
"4","11","911","31",Plateau,Plateau,3
"5","2","92","4",Plateau,Plateau,0
"6","3","93","7",Plateau,Plateau,0
"7","4","94","11",Plateau,Plateau,0
"8","5","95","15",Plateau,Plateau,0
"9","7","97","20",Plateau,Plateau,0
"10","8","98","22",Plateau,Plateau,0
"11","9","99","25",Plateau,Plateau,0
"12","10","910","28",Plateau,Plateau,0
"13","12","912","34",Plateau,Plateau,0
"14","16","916","47",Plateau,Plateau,1
"15","6","96","17",Plateau,Plateau,2
"16","14","914","40",Plateau,Plateau,2
